id,name,type,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_path,image_exists,combined_label,type_id,primary_color_id,shape_id
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_hs-frame2.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_e-frame2.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_fl.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen5.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_hs.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_dp.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen3_e.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/shiny/1-gen4_dp-frame2.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen4_hs-frame2.png,False,Grass_Yellow & Green_Quadruped,9,5,9
0,Bulbasaur,Grass,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0000-Bulbasaur-1/front/normal/1-gen3_e-frame2.png,False,Grass_Yellow & Green_Quadruped,9,5,9
