id,name,type,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_path,image_exists,combined_label,type_id,primary_color_id,shape_id
76,Vileplume,Grass,Red & Purple,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0076-Vileplume-45/front/normal/45-gen4_dp.png,False,Grass_Red & Purple_Humanoid,9,3,7
566,Croagunk,Poison,Blue,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0566-Croagunk-453/front/shiny/453-gen4_hs.png,False,Poison_Blue_Humanoid,13,0,7
981,Xurkitree,Electric,Orange & Brown,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0981-Xurkitree-796/front/normal/796-gen7.png,False,Electric_Orange & Brown_Upright,3,1,12
288,Heracross,Bug,Blue,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0288-Heracross-214/front/normal/214-gen4_hs-frame2.png,False,Bug_Blue_Humanoid,0,0,7
555,Gabite,Dragon,Blue,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0555-Gabite-444/front/normal/444-gen4_hs.png,False,Dragon_Blue_Upright,2,0,12
239,Crobat,Poison,Red & Purple,Bug-Wings,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0239-Crobat-169/front/normal/169-gen4_dp-frame2.png,False,Poison_Red & Purple_Bug-Wings,13,3,4
353,Lotad,Water,Yellow & Green,Armor,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0353-Lotad-270/front/normal/270-gen3_e.png,False,Water_Yellow & Green_Armor,17,5,0
719,Escavalier,Bug,Red & Purple,Arms,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0719-Escavalier-589/front/normal/589-gen5.png,False,Bug_Red & Purple_Arms,0,3,1
54,Sandshrew,Ground,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0054-Sandshrew-27/front/normal/27-gen3_e-frame2.png,False,Ground_Yellow & Green_Upright,10,5,12
218,Mewtwo,Psychic,Yellow & Green,Upright,True,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0218-Mewtwo-150/front/shiny/150-gen4_hs.png,False,Psychic_Yellow & Green_Upright,14,5,12
153,Voltorb,Electric,Blue,Ball,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0153-Voltorb-100/front/shiny/100-gen5.png,False,Electric_Blue_Ball,3,0,2
503,Empoleon,Water,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0503-Empoleon-395/front/shiny/395-gen4_hs.png,False,Water_Yellow & Green_Upright,17,5,12
308,Phanpy,Ground,Blue,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0308-Phanpy-231/front/normal/231-gen4_dp.png,False,Ground_Blue_Quadruped,10,0,9
61,Nidoran M,Poison,Blue,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0061-Nidoran M-32/front/shiny/32-gen4_dp.png,False,Poison_Blue_Quadruped,13,0,9
398,Manectric,Electric,Yellow & Green,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0398-Manectric-310/front/normal/310-gen5.png,False,Electric_Yellow & Green_Quadruped,3,5,9
452,Dusclops,Ghost,Red,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0452-Dusclops-356/front/shiny/356-gen4_dp.png,False,Ghost_Red_Humanoid,8,2,7
570,Lumineon,Water,Orange & Brown,Fish,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0570-Lumineon-457/front/shiny/457-gen4_dp-frame2.png,False,Water_Orange & Brown_Fish,17,1,5
602,Azelf,Psychic,Blue,Upright,True,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0602-Azelf-482/front/normal/482-gen5.png,False,Psychic_Blue_Upright,14,0,12
25,Pidgeotto,Normal,Red,Wings,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0025-Pidgeotto-17/front/normal/17-gen4_hs.png,False,Normal_Red_Wings,12,2,13
24,Pidgey,Normal,Red,Wings,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0024-Pidgey-16/front/normal/16-gen3_e-frame2.png,False,Normal_Red_Wings,12,2,13
407,Carvanha,Water,Yellow & Green,Fish,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0407-Carvanha-318/front/shiny/318-gen3_e.png,False,Water_Yellow & Green_Fish,17,5,5
147,Onix,Rock,White & Gray,Squiggle,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0147-Onix-95/front/normal/95-gen4_dp-frame2.png,False,Rock_White & Gray_Squiggle,15,4,10
74,Oddish,Grass,Yellow & Green,Legs,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0074-Oddish-43/front/shiny/43-gen4_dp.png,False,Grass_Yellow & Green_Legs,9,5,8
318,Miltank,Normal,Blue,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0318-Miltank-241/front/shiny/241-gen4_hs.png,False,Normal_Blue_Upright,12,0,12
274,Wobbuffet,Psychic,Blue,Blob,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0274-Wobbuffet-202/front/normal/202-gen3_e-frame2.png,False,Psychic_Blue_Blob,14,0,3
576,Magnezone,Electric,White & Gray,Arms,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0576-Magnezone-462/front/shiny/462-gen4_hs-frame2.png,False,Electric_White & Gray_Arms,3,4,1
162,Hitmonlee,Fighting,Orange & Brown,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0162-Hitmonlee-106/front/normal/106-gen3_e-frame2.png,False,Fighting_Orange & Brown_Humanoid,5,1,7
237,Spinarak,Bug,Blue,Armor,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0237-Spinarak-167/front/shiny/167-gen4_hs-frame2.png,False,Bug_Blue_Armor,0,0,0
321,Entei,Fire,Orange & Brown,Quadruped,True,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0321-Entei-244/front/normal/244-gen4_dp.png,False,Fire_Orange & Brown_Quadruped,6,1,9
369,Shroomish,Grass,Orange & Brown,Legs,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0369-Shroomish-285/front/shiny/285-gen4_dp.png,False,Grass_Orange & Brown_Legs,9,1,8
807,Litleo,Fire,Orange & Brown,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0807-Litleo-667/front/normal/667-gen6.png,False,Fire_Orange & Brown_Quadruped,6,1,9
143,Haunter,Ghost,Red & Purple,Arms,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0143-Haunter-93/front/shiny/93-gen4_hs.png,False,Ghost_Red & Purple_Arms,8,3,1
232,Furret,Normal,Red,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0232-Furret-162/front/shiny/162-gen3_e.png,False,Normal_Red_Quadruped,12,2,9
425,Altaria,Dragon,Red & Purple,Wings,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0425-Altaria-334/front/normal/334-gen3_e.png,False,Dragon_Red & Purple_Wings,2,3,13
473,Beldum,Steel,White & Gray,Blob,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0473-Beldum-374/front/shiny/374-gen4_hs.png,False,Steel_White & Gray_Blob,16,4,3
365,Gardevoir,Psychic,Red & Purple,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0365-Gardevoir-282/front/shiny/282-gen5.png,False,Psychic_Red & Purple_Humanoid,14,3,7
56,Sandslash,Ground,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0056-Sandslash-28/front/normal/28-gen3_e-frame2.png,False,Ground_Yellow & Green_Upright,10,5,12
482,Latios,Dragon,Blue,Wings,True,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0482-Latios-381/front/normal/381-gen3_e-frame2.png,False,Dragon_Blue_Wings,2,0,13
889,Gumshoos,Normal,Red & Purple,Quadruped,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0889-Gumshoos-735/front/shiny/735-gen7.png,False,Normal_Red & Purple_Quadruped,12,3,9
105,Machoke,Fighting,Yellow & Green,Humanoid,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0105-Machoke-67/front/shiny/67-gen3_fl.png,False,Fighting_Yellow & Green_Humanoid,5,5,7
291,Teddiursa,Normal,Yellow & Green,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0291-Teddiursa-216/front/shiny/216-gen3_e.png,False,Normal_Yellow & Green_Upright,12,5,12
64,Clefairy,Fairy,Red,Upright,False,False,False,False,False,home/young/projects/pokemon_diffusion/data/03_primary/pokemon_sprites/images/0064-Clefairy-35/front/normal/35-gen3_e.png,False,Fairy_Red_Upright,4,2,12
