,Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,_name,id,name,pokedex_id,type1,type2,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,image_fn
0,Abomasnow,"Grass, Ice",Frost Tree Pokémon,2.2 m (7′03″),135.5 kg (298.7 lbs),"1. Snow Warning, Soundproof (hidden ability)","1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),173,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,75,139,273,92,170,311,85,157,295,60,112,240,abomasnow,573.0,Abomasnow,460.0,Grass,Ice,White,Upright,False,False,False,False,False,['460']
1,Mega Abomasnow,"Grass, Ice",Frost Tree Pokémon,2.7 m (8′10″),185.0 kg (407.9 lbs),1. Snow Warning,"1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),208,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,132,242,399,105,193,339,132,242,399,105,193,339,30,58,174,mega abomasnow,,,,,,,,,,,,,
2,Abra,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)",1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,abra,100.0,Abra,63.0,Psychic,,Brown,Upright,False,False,False,False,False,['63']
3,Absol,Dark,Disaster Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs),"1. Pressure, 2. Super Luck, Justified (hidden ability)",2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),163,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,absol,455.0,Absol,359.0,Dark,,White,Quadruped,False,False,False,False,False,['359']
4,Mega Absol,Dark,Disaster Pokémon,1.2 m (3′11″),49.0 kg (108.0 lbs),1. Magic Bounce,2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),198,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,150,274,438,60,112,240,115,211,361,60,112,240,115,211,361,mega absol,,,,,,,,,,,,,
5,Accelgor,Bug,Shell Out Pokémon,0.8 m (2′07″),25.3 kg (55.8 lbs),"1. Hydration, 2. Sticky Hold, Unburden (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,70,130,262,40,76,196,100,184,328,60,112,240,145,265,427,accelgor,747.0,Accelgor,617.0,Bug,,Red,Arms,False,False,False,False,False,['617']
6,Aegislash Shield Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"2 Defense, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,140,256,416,50,94,218,140,256,416,60,112,240,aegislash shield,824.0,Aegislash Shield,681.0,Steel,Ghost,Brown,Blob,False,False,False,False,False,['681_1']
7,Aegislash Blade Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"2 Attack, 1 Sp. Atk","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,140,256,416,50,94,218,140,256,416,50,94,218,60,112,240,aegislash blade,823.0,Aegislash Blade,681.0,Steel,Ghost,Brown,Blob,False,False,False,False,False,['681_2']
8,Aerodactyl,"Rock, Flying",Fossil Pokémon,1.8 m (5′11″),59.0 kg (130.1 lbs),"1. Rock Head, 2. Pressure, Unnerve (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),180,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394,aerodactyl,205.0,Aerodactyl,142.0,Rock,Flying,Purple,Wings,False,False,False,False,False,['142']
9,Mega Aerodactyl,"Rock, Flying",Fossil Pokémon,2.1 m (6′11″),79.0 kg (174.2 lbs),1. Tough Claws,2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),215,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,135,247,405,85,157,295,70,130,262,95,175,317,150,274,438,mega aerodactyl,,,,,,,,,,,,,
10,Aggron,"Steel, Rock",Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,aggron,392.0,Aggron,306.0,Steel,Rock,Gray,Upright,False,False,False,False,False,['306']
11,Mega Aggron,Steel,Iron Armor Pokémon,2.2 m (7′03″),395.0 kg (870.8 lbs),1. Filter,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,mega aggron,,,,,,,,,,,,,
12,Aipom,Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),"1. Run Away, 2. Pickup, Skill Link (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,aipom,261.0,Aipom,190.0,Normal,,Purple,Upright,False,False,False,False,False,['190']
