,Height,Weight,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,_name,name,type1,type2,primary_color,shape,legendary,mega_evolution,alolan_form,galarian_form,gigantamax,_name_clean
0,2.2 m (7′03″),135.5 kg (298.7 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),173,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,75,139,273,92,170,311,85,157,295,60,112,240,abomasnow,Abomasnow,Grass,Ice,White,Upright,False,False,False,False,False,abomasnow
1,2.7 m (8′10″),185.0 kg (407.9 lbs),"60 (7.8% with PokéBall, full HP)",50 (normal),208,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,132,242,399,105,193,339,132,242,399,105,193,339,30,58,174,mega abomasnow,Abomasnow,Grass,,White,Upright,,,,,,abomasnow
2,0.9 m (2′11″),19.5 kg (43.0 lbs),"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,abra,Abra,Psychic,,Brown,Upright,False,False,False,False,False,abra
3,1.2 m (3′11″),47.0 kg (103.6 lbs),"30 (3.9% with PokéBall, full HP)",35 (lower than normal),163,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,absol,Absol,Dark,,White,Quadruped,False,False,False,False,False,absol
4,1.2 m (3′11″),49.0 kg (108.0 lbs),"30 (3.9% with PokéBall, full HP)",35 (lower than normal),198,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,150,274,438,60,112,240,115,211,361,60,112,240,115,211,361,mega absol,Absol,Dark,,White,Quadruped,,,,,,absol
5,0.8 m (2′07″),25.3 kg (55.8 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,70,130,262,40,76,196,100,184,328,60,112,240,145,265,427,accelgor,Accelgor,Bug,,Red,Arms,False,False,False,False,False,accelgor
6,1.7 m (5′07″),53.0 kg (116.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,140,256,416,50,94,218,140,256,416,60,112,240,aegislash shield,Aegislash Shield,Steel,Ghost,Brown,Blob,False,False,False,False,False,aegislash
7,1.7 m (5′07″),53.0 kg (116.8 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,140,256,416,50,94,218,140,256,416,50,94,218,60,112,240,aegislash blade,Aegislash Blade,Steel,Ghost,Brown,Blob,False,False,False,False,False,aegislash blade
8,1.8 m (5′11″),59.0 kg (130.1 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),180,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394,aerodactyl,Aerodactyl,Rock,Flying,Purple,Wings,False,False,False,False,False,aerodactyl
9,2.1 m (6′11″),79.0 kg (174.2 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),215,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,135,247,405,85,157,295,70,130,262,95,175,317,150,274,438,mega aerodactyl,Aerodactyl,Rock,,Purple,Wings,,,,,,aerodactyl
10,2.1 m (6′11″),360.0 kg (793.7 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,aggron,Aggron,Steel,Rock,Gray,Upright,False,False,False,False,False,aggron
11,2.2 m (7′03″),395.0 kg (870.8 lbs),"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,mega aggron,Aggron,Steel,,Gray,Upright,,,,,,aggron
12,0.8 m (2′07″),11.5 kg (25.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),72,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,aipom,Aipom,Normal,,Purple,Upright,False,False,False,False,False,aipom
13,1.5 m (4′11″),48.0 kg (105.8 lbs),"50 (6.5% with PokéBall, full HP)",50 (normal),225,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,alakazam,Alakazam,Psychic,,Brown,Humanoid,False,False,False,False,False,alakazam
14,1.2 m (3′11″),48.0 kg (105.8 lbs),"50 (6.5% with PokéBall, full HP)",50 (normal),270,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,65,121,251,175,319,493,105,193,339,150,274,438,mega alakazam,Alakazam,Psychic,,Brown,Humanoid,,,,,,alakazam
15,0.3 m (1′00″),0.5 kg (1.1 lbs),"100 (13.1% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Amorphous, Fairy","0% male, 100% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,75,139,273,110,202,350,121,222,375,64,119,249,alcremie,Alcremie,Fairy,,White,Blob,False,False,False,False,False,alcremie
16,1.2 m (3′11″),31.6 kg (69.7 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),165,Fast,"Water 1, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",165,440,534,75,139,273,80,148,284,40,76,196,45,85,207,65,121,251,alomomola,Alomomola,Water,,Pink,Fish,False,False,False,False,False,alomomola
17,1.1 m (3′07″),20.6 kg (45.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),172,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,altaria,Altaria,Dragon,Flying,Blue,Wings,False,False,False,False,False,altaria
18,1.5 m (4′11″),20.6 kg (45.4 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),207,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,110,202,350,110,202,350,105,193,339,80,148,284,mega altaria,Altaria,Dragon,,Blue,Wings,,,,,,altaria
19,1.3 m (4′03″),25.2 kg (55.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",77,264,358,59,110,238,50,94,218,67,125,256,63,117,247,46,87,210,amaura,Amaura,Rock,Ice,Blue,Quadruped,False,False,False,False,False,amaura
20,1.2 m (3′11″),20.3 kg (44.8 lbs),"45 (5.9% with PokéBall, full HP)",100 (higher than normal),169,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,ambipom,Ambipom,Normal,,Purple,Upright,False,False,False,False,False,ambipom
21,0.6 m (2′00″),10.5 kg (23.1 lbs),"75 (9.8% with PokéBall, full HP)",50 (normal),162,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,amoonguss,Amoonguss,Grass,Poison,White,Arms,False,False,False,False,False,amoonguss
22,1.4 m (4′07″),61.5 kg (135.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,ampharos,Ampharos,Electric,,Yellow,Upright,False,False,False,False,False,ampharos
23,1.4 m (4′07″),61.5 kg (135.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),275,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,95,175,317,105,193,339,165,301,471,110,202,350,45,85,207,mega ampharos,Ampharos,Electric,,Yellow,Upright,,,,,,ampharos
24,1.2 m (3′11″),56.0 kg (123.5 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),268,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,115,211,361,80,148,284,50,94,218,90,166,306,90,166,306,annihilape,Sandile,Ground,,Brown,Quadruped,,,,,,annihilape
25,0.7 m (2′04″),12.5 kg (27.6 lbs),"45 (5.9% with PokéBall, full HP)",50 (normal),71,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,anorith,Anorith,Rock,Bug,Gray,Armor,False,False,False,False,False,anorith
